INFO 2018-09-17 04:52:25,360 payments 13974 139796862695168 1
INFO 2018-09-17 04:58:06,283 payments 14058 140689237079808 {'pay_status': True, 'payment_amount': '14000.00', 'updated_at': '2018-09-17T04:58:06.127980Z', 'transaction': None, 'created_at': '2018-09-17T04:58:06.127905Z', 'pay_via': 'debit', 'id': 8, 'partial_amount': '7000.00', 'user': 2}
INFO 2018-09-17 06:27:15,041 payments 15735 140209098618624 {'pay_status': True, 'updated_at': '2018-09-17T06:27:14.780841Z', 'payment_amount': '16000.00', 'created_at': '2018-09-17T06:27:14.780762Z', 'transaction': None, 'user': 2, 'id': 9, 'partial_amount': '5000.00', 'pay_via': 'debit'}
INFO 2018-09-17 06:37:54,914 payments 16756 139965467981568 {'pay_via': 'debit', 'payment_amount': '16000.00', 'pay_status': True, 'id': 10, 'created_at': '2018-09-17T06:37:54.765124Z', 'updated_at': '2018-09-17T06:37:54.765207Z', 'partial_amount': '5000.00', 'user': 2, 'transaction': None}
INFO 2018-09-17 09:32:58,399 payments 22349 140490944608000 {'created_at': '2018-09-17T09:32:58.234391Z', 'id': 11, 'transaction': None, 'pay_status': True, 'pay_via': 'debit', 'updated_at': '2018-09-17T09:32:58.234468Z', 'partial_amount': '5000.00', 'payment_amount': '16000.00', 'user': 2}
INFO 2018-09-17 09:33:38,187 payments 22383 140150487119616 {'pay_status': True, 'payment_amount': '16000.00', 'user': 2, 'pay_via': 'debit', 'partial_amount': '5000.00', 'transaction': None, 'created_at': '2018-09-17T09:33:37.936457Z', 'id': 12, 'updated_at': '2018-09-17T09:33:37.936533Z'}
INFO 2018-09-17 09:44:40,560 payments 22721 140301137377024 {'transaction': None, 'partial_amount': '5000.00', 'pay_status': True, 'updated_at': '2018-09-17T09:44:40.407152Z', 'created_at': '2018-09-17T09:44:40.407070Z', 'payment_amount': '16000.00', 'id': 13, 'pay_via': 'debit', 'user': 2}
INFO 2018-09-17 10:20:34,298 payments 22721 140301137377024 {'transaction': None, 'partial_amount': '11000.00', 'pay_status': True, 'updated_at': '2018-09-17T10:20:34.076936Z', 'created_at': '2018-09-17T10:20:34.076862Z', 'payment_amount': '10000.00', 'id': 14, 'pay_via': 'debit', 'user': 2}
INFO 2018-09-17 10:23:13,563 payments 24589 140655363913472 {'transaction': None, 'payment_amount': '10000.00', 'updated_at': '2018-09-17T10:23:13.342697Z', 'user': 2, 'pay_status': True, 'created_at': '2018-09-17T10:23:13.342606Z', 'partial_amount': '25000.00', 'pay_via': 'debit', 'id': 15}
INFO 2018-09-17 10:26:25,600 payments 24717 140093142529792 {'id': 16, 'payment_amount': '10000.00', 'updated_at': '2018-09-17T10:26:25.404865Z', 'user': 2, 'partial_amount': '25000.00', 'pay_via': 'debit', 'created_at': '2018-09-17T10:26:25.404784Z', 'pay_status': True, 'transaction': None}
INFO 2018-09-17 10:32:48,215 payments 24717 140093142529792 {'id': 17, 'payment_amount': '10000.00', 'updated_at': '2018-09-17T10:32:47.465673Z', 'user': 2, 'partial_amount': '25000.00', 'pay_via': 'debit', 'created_at': '2018-09-17T10:32:47.465581Z', 'pay_status': True, 'transaction': None}
INFO 2018-09-17 10:57:36,591 payments 25506 140544028538624 {'pay_via': 'debit', 'pay_status': True, 'transaction': 17, 'payment_amount': '16000.00', 'partial_amount': '14000.00', 'updated_at': '2018-09-17T10:57:36.336967Z', 'user': 2, 'created_at': '2018-09-17T10:57:36.336889Z', 'id': 18}
INFO 2018-09-17 10:57:36,998 payments 25506 140544028538624 {'pay_via': 'debit', 'pay_status': True, 'transaction': 18, 'payment_amount': '16000.00', 'partial_amount': '14000.00', 'updated_at': '2018-09-17T10:57:36.876721Z', 'user': 2, 'created_at': '2018-09-17T10:57:36.876650Z', 'id': 19}
INFO 2018-09-17 11:38:07,916 payments 27035 139655797667584 {'transaction': 20, 'payment_amount': '18000.00', 'user': 2, 'updated_at': '2018-09-17T11:38:07.523346Z', 'pay_status': True, 'created_at': '2018-09-17T11:38:07.523269Z', 'pay_via': 'debit', 'partial_amount': '-11000.00', 'id': 20}
INFO 2018-09-17 11:38:08,232 payments 27035 139655797667584 {'transaction': 20, 'payment_amount': '18000.00', 'user': 2, 'updated_at': '2018-09-17T11:38:08.141657Z', 'pay_status': True, 'created_at': '2018-09-17T11:38:08.141582Z', 'pay_via': 'debit', 'partial_amount': '-11000.00', 'id': 21}
INFO 2018-09-17 11:39:21,362 payments 27035 139655797667584 {'transaction': 16, 'payment_amount': '18000.00', 'user': 2, 'updated_at': '2018-09-17T11:39:21.162102Z', 'pay_status': True, 'created_at': '2018-09-17T11:39:21.162029Z', 'pay_via': 'debit', 'partial_amount': '17000.00', 'id': 22}
INFO 2018-09-17 11:39:21,670 payments 27035 139655797667584 {'transaction': 17, 'payment_amount': '18000.00', 'user': 2, 'updated_at': '2018-09-17T11:39:21.555523Z', 'pay_status': True, 'created_at': '2018-09-17T11:39:21.555450Z', 'pay_via': 'debit', 'partial_amount': '17000.00', 'id': 23}
INFO 2018-09-17 11:39:21,945 payments 27035 139655797667584 {'transaction': 20, 'payment_amount': '18000.00', 'user': 2, 'updated_at': '2018-09-17T11:39:21.845079Z', 'pay_status': True, 'created_at': '2018-09-17T11:39:21.845007Z', 'pay_via': 'debit', 'partial_amount': '17000.00', 'id': 24}
INFO 2018-09-17 11:42:41,717 payments 27035 139655797667584 {'transaction': 16, 'payment_amount': '14000.00', 'user': 2, 'updated_at': '2018-09-17T11:42:41.561833Z', 'pay_status': True, 'created_at': '2018-09-17T11:42:41.561760Z', 'pay_via': 'debit', 'partial_amount': '21000.00', 'id': 25}
INFO 2018-09-17 11:42:42,042 payments 27035 139655797667584 {'transaction': 17, 'payment_amount': '14000.00', 'user': 2, 'updated_at': '2018-09-17T11:42:41.893297Z', 'pay_status': True, 'created_at': '2018-09-17T11:42:41.893202Z', 'pay_via': 'debit', 'partial_amount': '21000.00', 'id': 26}
INFO 2018-09-17 11:42:42,326 payments 27035 139655797667584 {'transaction': 20, 'payment_amount': '14000.00', 'user': 2, 'updated_at': '2018-09-17T11:42:42.230458Z', 'pay_status': True, 'created_at': '2018-09-17T11:42:42.230384Z', 'pay_via': 'debit', 'partial_amount': '21000.00', 'id': 27}
INFO 2018-09-17 12:01:23,179 payments 27703 140293543950080 {'updated_at': '2018-09-17T12:01:23.059161Z', 'pay_status': True, 'id': 28, 'transaction': 16, 'created_at': '2018-09-17T12:01:23.059086Z', 'pay_via': 'debit', 'user': 2, 'payment_amount': '14000.00', 'partial_amount': '21000.00'}
INFO 2018-09-17 12:01:23,479 payments 27703 140293543950080 {'updated_at': '2018-09-17T12:01:23.377535Z', 'pay_status': True, 'id': 29, 'transaction': 17, 'created_at': '2018-09-17T12:01:23.377451Z', 'pay_via': 'debit', 'user': 2, 'payment_amount': '14000.00', 'partial_amount': '21000.00'}
INFO 2018-09-17 12:01:23,746 payments 27703 140293543950080 {'updated_at': '2018-09-17T12:01:23.648369Z', 'pay_status': True, 'id': 30, 'transaction': 20, 'created_at': '2018-09-17T12:01:23.648295Z', 'pay_via': 'debit', 'user': 2, 'payment_amount': '14000.00', 'partial_amount': '21000.00'}
