G.L. Name Balance
Paid up Share Capital
Paid up Share Capital  72480800.00
Reserve & Other Funds
DEPRECIATION FUND  6969558.00
BUILDING FUND  13031753.00
RESERVE FUND  10800388.00
DHARMDAY NIDHI  83439.00
ELECTION FUND  200830.00
NOMINAL MEMBER  2740.00
EMPLOYEE WELFARE FUND  617468.00
B.D.D.R  7332349.00
SABHASAD KALYAN NIDHI  400504.00
LABHANSHA SAMKARAN NIDHI  1762455.00
RES. FOR STANDARD ASSETS  1799472.00
Deposits
SECURITY DEPOSITE  3115500.00
RECURRING DEPOSITS  60295275.05
FIXED DEPOSIT (MEDIUM TERM)  259512692.00
FIXED DEPOSIT (LONG TERM)  6262908.00
FIXED DEPOSIT (MONTHLY INCOME SCHEME)  226148386.00
SMALL SAVING DEPOSITS AGENT  30.00
DAM DUPATTA FIX DEPO  23585344.00
DAILY SMALL SAVING DEPOSIT  109468707.00
SAVING ACCOUNTS  105808063.11
CURRENT ACCOUNTS  1716447.70
FIXED DEPOSIT (SHORT TERM)  276313704.53
MEDIUM TERM FIX DEPOSITE SCHME  41775474.00
LOCKER DEPOSIT  202000.00
CHILDRAN LONG TERM DEPOSIT  1667943.00
SECURITY PIGMI MASHIN  701093.00
Other Liabilities
AUDIT FEE PROVISION  768365.00
SERVICE TAX PAYABLE  599851.00
QUOTATION AMOUNT A/C  53000.00
CONSULTENT  FEE PROVISION  20885.00

