No.,Movie name,Unnamed: 2,Director,Date ofrelease
1.0,Tene Manasulu,Adurthi Subba Rao,,31 March
,,,,1965
2.0,Kanne Manasulu,Adurthi Subba Rao,,22 July 1966
3.0,Gudachari 116,M Mallikharjuna Rao,,11 August
,,,,1966
4.0,Iddaru Monagallu,B. Vittalacharya,,3 March
,,,,1967
5.0,Saakshi,Bapu,,1 July 1967
6.0,Marapurani Katha,V. Rama Chandra Rao,,27 July 1967
7.0,Stree Janma,K. S. Prakasa Rao,,31 August
,,,,1967
8.0,Upayamlo Apayam,T. Krishna,,7 September
,,,,1967
,,,,14
9.0,Private Master,Kasinadhuni Viswanath,,September
,,,,1967
,,,,14
10.0,Ave kallu,A. C. Trilok Chandar,,December
,,,,1967
11.0,Asadhyudu,Ramachandra Rao,,12 January
,,,,1968
12.0,NiluvuDopidi,C. S. Rao,,25 January
,,,,1968
13.0,Manchi Kutumbam,V. Madhusudhan Rao,,15 March
,,,,1968
14.0,Circar Express,Krishnan,,12 April
,,,,1968
15.0,Amayakudu,Addala Narayan Rao,,17 May
,,,,1968
16.0,Attagaru Kothakodalu,A. Sahttps://en.wikipedia.org/w/index.php?,,14 June
,,title=Krishna_filmography&action=edit&section=1njeevi,,1968
17.0,Lakshmi Nivasam,V. Madhusudhan Rao,,19 July 1968
18.0,Nenante Nene,V. Ramachandra Rao,,6 September
,,,,1968
,,,,28
19.0,Undamma Bottu Pedata,Kasinadhuni Viswanath,,September
,,,,1968
20.0,Chelleli Kosam,M. Mallikharjuna Rao,,31 October
,,,,1968
21.0,Vintha Kapuram,V. C. Subba Rao,,3 November
,,,,1968
22.0,Manchi Mitrulu,T. RamarAo,,12 January
,,,,1969
23.0,Love in Andhra,Ravi,,20 February
,,,,1969
24.0,Bhale Abbailu,Peketi,,19 March
,,,,1969
25.0,Bommalu Cheppina,G. Viswanatham,,4 April 1969
,Katha,,,
26.0,Mahabaludu,Ravikant Nagaich,18 April,
,,,1969,
27.0,Sabash Satyam,G. Viswanath,19 April,
,,,1969,
28.0,Astulu Anthastulu,V. Rama Chandra Rao,15 May,
,,,1969,
29.0,Takkari Donga Chakkani,,,
,Chukka,,,
,,K. S. R. Das,16 May,
,,,1969,
30.0,Vichitra Kutumbam,K. S. Praskasa Rao,28 May,
,,,1969,
31.0,Muhrutha Balam,M. Mallikharjuna Rao,13 June,
,,,1969,
32.0,Jarigina Katha,K. Babu Rao,4 July 1969,
33.0,Jagat Kiladilu,I. S. Murthy,25 July 1969,
34.0,Anna Dammulu,V. Ramachandra Rao,29 August,
,,,1969,
,,,28,
35.0,Karpoora Harathi,V. Ramachandra Rao,November,
,,,1969,
,,,25,
36.0,Bandipotu Bheemanna,M. Mallikharjuna Rao,December,
,,,1969,
37.0,Akka Chellelu,A. Sanjeevi,1 January,
,,,1970,
38.0,Maa Nanna Nirdhoshi,K. V. Nanadhana Rao,30 January,
,,,1970,
39.0,Malli Pelli,C. S. Rao,14 February,
,,,1970,
40.0,Vidhi Vilasam,Tapi Chanakya,12 March,
,,,1970,
41.0,Amma Kosam,B. V. Prasad,26 March,
,,,1970,
42.0,Talibottu,T. Madhava Rao,27 March,
,,,1970,
43.0,Pelli Sambandham,K. Vara Prsada Rao,2 April 1970,
44.0,Pelli Koothuru,V. Rama Chandra Rao,17 April,
,,,1970,
45.0,Maa Manchi Akkayya,V. Rama Chandra Rao,15 May,
,,,1970,
46.0,Paga Sadista,K. S. Kutumba Rao,28 May,
,,,1970,
47.0,Agni Pariksha,K. Vara Prasad Rao,10 July 1970,
48.0,Akhandudu,V. Rama Chandra Rao,24 July 1970,
49.0,Pachhani Samsaram,P. Lakshmi Deepak,7 August,
,,,1970,
50.0,Rendu Kutumbala Katha,V. Sambha Siva Rao,30 October,
,,,1970,
51.0,Allude Menalludu,P. Pullayya,5 November,
,,,1970,
52.0,Andarki Monagadu,M. Mallikharjuna Rao,13 February,
,,,1970,
53.0,Prema Jeevulu,K. S. R. Das,5 March,
